"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 27 17:30:54 GMT 2023","Thu Apr 27 17:30:55 GMT 2023","304","tests","test_get_quotes","TestGetQuotes","","","test_get_random_quote",""
"broken","Thu Apr 27 17:30:55 GMT 2023","Thu Apr 27 17:30:55 GMT 2023","296","tests","test_get_quotes","TestGetQuotes","","","test_get_random_quote_from_author",""
"passed","Thu Apr 27 17:30:32 GMT 2023","Thu Apr 27 17:30:38 GMT 2023","5324","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_1_check_list_users_pages","Getting the default list of users. Determining the number of pages and users."
"failed","Thu Apr 27 17:30:16 GMT 2023","Thu Apr 27 17:30:17 GMT 2023","353","tests","test_9kovlev_get_episodes","TestCharacters","","","test_test_first_episoode_invalid_id",""
"broken","Thu Apr 27 17:30:52 GMT 2023","Thu Apr 27 17:30:53 GMT 2023","294","tests","test_get_episodes","TestEpisodes","","","test_get_all_episodes",""
"skipped","Thu Apr 27 17:30:20 GMT 2023","Thu Apr 27 17:30:20 GMT 2023","0","tests","test_book_store_account","TestBookStore","","","test_2_generate_token","Generate token"
"broken","Thu Apr 27 17:30:16 GMT 2023","Thu Apr 27 17:30:16 GMT 2023","305","tests","test_9kovlev_get_episodes","TestCharacters","","","test_first_episoode",""
"broken","Thu Apr 27 17:30:48 GMT 2023","Thu Apr 27 17:30:48 GMT 2023","327","tests","test_get_characters","TestCharacters","","","test_character_by_category_limit",""
"broken","Thu Apr 27 17:30:52 GMT 2023","Thu Apr 27 17:30:52 GMT 2023","296","tests","test_get_episodes","TestEpisodes","","","test_episode_title_in_data",""
"skipped","Thu Apr 27 17:30:20 GMT 2023","Thu Apr 27 17:30:20 GMT 2023","1","tests","test_book_store_account","TestBookStore","","","test_4_account_authorized","checking user logged in or not"
"broken","Thu Apr 27 17:30:53 GMT 2023","Thu Apr 27 17:30:53 GMT 2023","301","tests","test_get_episodes","TestEpisodes","","","test_get_episode_by_series",""
"broken","Thu Apr 27 17:30:49 GMT 2023","Thu Apr 27 17:30:49 GMT 2023","296","tests","test_get_characters","TestCharacters","","","test_character_by_name",""
"passed","Thu Apr 27 17:30:24 GMT 2023","Thu Apr 27 17:30:27 GMT 2023","2502","tests","test_book_store_account_version2","TestBookStore","","","test_user_create","create new user"
"passed","Thu Apr 27 17:30:32 GMT 2023","Thu Apr 27 17:30:32 GMT 2023","0","tests","test_dummy","TestSuite","","","test_5",""
"passed","Thu Apr 27 17:30:27 GMT 2023","Thu Apr 27 17:30:30 GMT 2023","3092","tests","test_book_store_account_version2","TestBookStore","","","test_user_get","get new user info"
"broken","Thu Apr 27 17:30:53 GMT 2023","Thu Apr 27 17:30:53 GMT 2023","299","tests","test_get_episodes","TestEpisodes","","","test_get_episode_by_id",""
"broken","Thu Apr 27 17:30:50 GMT 2023","Thu Apr 27 17:30:50 GMT 2023","300","tests","test_get_characters","TestCharacters","","","test_character_invalid_limit",""
"broken","Thu Apr 27 17:30:50 GMT 2023","Thu Apr 27 17:30:51 GMT 2023","375","tests","test_get_characters","TestCharacters","","","test_single_character",""
"passed","Thu Apr 27 17:30:32 GMT 2023","Thu Apr 27 17:30:32 GMT 2023","0","tests","test_dummy","TestSuite","","","test_3",""
"passed","Thu Apr 27 17:30:20 GMT 2023","Thu Apr 27 17:30:23 GMT 2023","2513","tests","test_book_store_account_version2","TestBookStore","","","test_delete","delete new user"
"passed","Thu Apr 27 17:30:43 GMT 2023","Thu Apr 27 17:30:44 GMT 2023","831","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_5_login","Registration successful"
